date,open,high,low,close,adj_close,volume
,TM,TM,TM,TM,TM,TM
1980-03-17,0.0,3.344743013381958,3.291227102279663,3.291227102279663,1.8489787578582764,41109
1980-03-18,0.0,3.3581221103668213,3.3046059608459473,3.3046059608459473,1.8564950227737427,9343
1980-03-19,3.3046059608459473,3.3046059608459473,3.3046059608459473,3.3046059608459473,1.8564950227737427,0
1980-03-20,0.0,3.3581221103668213,3.3046059608459473,3.3046059608459473,1.8564950227737427,10277
1980-03-21,0.0,3.4383959770202637,3.3848800659179688,3.3848800659179688,1.9015922546386719,8409
1980-03-24,0.0,3.451775074005127,3.398258924484253,3.398258924484253,1.9091079235076904,2803
1980-03-25,0.0,3.4250171184539795,3.3715009689331055,3.3715009689331055,1.8940765857696533,27095
1980-03-26,0.0,3.4250171184539795,3.3715009689331055,3.3715009689331055,1.8940765857696533,1869
1980-03-27,0.0,3.3848800659179688,3.3313639163970947,3.3313639163970947,1.8715274333953857,14015
1980-03-28,0.0,3.3715009689331055,3.3179850578308105,3.3179850578308105,1.8640104532241821,36438
1980-03-31,0.0,3.3715009689331055,3.3179850578308105,3.3179850578308105,1.8640104532241821,1869
1980-04-01,0.0,3.3179850578308105,3.2644689083099365,3.2644689083099365,1.8339455127716064,2803
1980-04-02,0.0,3.291227102279663,3.237710952758789,3.237710952758789,1.8189140558242798,6540
1980-04-03,3.237710952758789,3.237710952758789,3.237710952758789,3.237710952758789,1.8189140558242798,0
1980-04-07,0.0,3.291227102279663,3.237710952758789,3.237710952758789,1.8189140558242798,934
1980-04-08,0.0,3.291227102279663,3.237710952758789,3.237710952758789,1.8189140558242798,44846
1980-04-09,0.0,3.398258924484253,3.344743013381958,3.344743013381958,1.8790433406829834,42044
1980-04-10,0.0,3.4383959770202637,3.3848800659179688,3.3848800659179688,1.9015922546386719,35503
1980-04-11,0.0,3.4250171184539795,3.3715009689331055,3.3715009689331055,1.8940765857696533,59795
1980-04-14,3.3715009689331055,3.3715009689331055,3.3715009689331055,3.3715009689331055,1.8940765857696533,0
1980-04-15,0.0,3.5320489406585693,3.4785330295562744,3.4785330295562744,1.9542055130004883,1869
1980-04-16,0.0,3.5320489406585693,3.4785330295562744,3.4785330295562744,1.9542055130004883,61664
1980-04-17,3.4785330295562744,3.4785330295562744,3.4785330295562744,3.4785330295562744,1.9542055130004883,0
1980-04-18,0.0,3.4785330295562744,3.4250171184539795,3.4250171184539795,1.924140214920044,1869
1980-04-21,0.0,3.4785330295562744,3.4250171184539795,3.4250171184539795,1.924140214920044,5606
1980-04-22,3.4250171184539795,3.4250171184539795,3.4250171184539795,3.4250171184539795,1.924140214920044,0
1980-04-23,0.0,3.5454280376434326,3.4919118881225586,3.4919118881225586,1.9617211818695068,24292
